-=-=-=-=-=-=-=-==-=-=-=-==-=-=-=-=-=-==-=-=-=-分词
中国|3|0.0410958904109589
后|5|0.0684931506849315
图书馆|1|0.0136986301369863
一|1|0.0136986301369863
今天|1|0.0136986301369863
null|13|0.1780821917808219
正式|2|0.0273972602739726
在|1|0.0136986301369863
大会|1|0.0136986301369863
的|2|0.0273972602739726
政府|1|0.0136986301369863
银行|1|0.0136986301369863
于|4|0.0547945205479452
该行|1|0.0136986301369863
初期|1|0.0136986301369863
之|2|0.0273972602739726
委员会|1|0.0136986301369863
特委|1|0.0136986301369863
伊始|1|0.0136986301369863
其|1|0.0136986301369863
以来|2|0.0273972602739726
宣告|1|0.0136986301369863
行政区|1|0.0136986301369863
大学|1|0.0136986301369863
时|1|0.0136986301369863
2月|1|0.0136986301369863
到|1|0.0136986301369863
监察局|1|0.0136986301369863
小组|1|0.0136986301369863
挂牌|1|0.0136986301369863
东京|1|0.0136986301369863
中心|1|0.0136986301369863
11|1|0.0136986301369863
商会|1|0.0136986301369863
了|1|0.0136986301369863
--------------------------------------------
null|7|0.0958904109589041
杂文|1|0.0136986301369863
组织|1|0.0136986301369863
专门|4|0.0547945205479452
西藏|1|0.0136986301369863
里|1|0.0136986301369863
了|16|0.2191780821917808
集团|1|0.0136986301369863
南方|1|0.0136986301369863
的|1|0.0136986301369863
４月|1|0.0136986301369863
他们|1|0.0136986301369863
一个|2|0.0273972602739726
如|1|0.0136986301369863
俄|1|0.0136986301369863
要|1|0.0136986301369863
组建|1|0.0136986301369863
中国|2|0.0273972602739726
还|1|0.0136986301369863
警署|1|0.0136986301369863
当局|1|0.0136986301369863
并|3|0.0410958904109589
两|1|0.0136986301369863
分别|1|0.0136986301369863
程序|1|0.0136986301369863
已经|1|0.0136986301369863
证券|1|0.0136986301369863
将|1|0.0136986301369863
企业|1|0.0136986301369863
四川|1|0.0136986301369863
西部|1|0.0136986301369863
合作|1|0.0136986301369863
--------------------------------------------
即可|1|0.0136986301369863
null|10|0.136986301369863
可以|1|0.0136986301369863
完全|1|0.0136986301369863
能|4|0.0547945205479452
罪名|2|0.0273972602739726
能够|1|0.0136986301369863
一经|1|0.0136986301369863
合同|1|0.0136986301369863
后|1|0.0136986301369863
告|1|0.0136986301369863
吗|1|0.0136986301369863
的|1|0.0136986301369863
-=-=-=-=-=-=-=-==-=-=-=-==-=-=-=-=-=-==-=-=-=-三层
Di02|4|0.0547945205479452
Cb04|5|0.0684931506849315
Dm07|1|0.0136986301369863
Eb02|1|0.0136986301369863
Ca10|1|0.0136986301369863
null|17|0.2328767123287671
Ed53|2|0.0273972602739726
Kb01|1|0.0136986301369863
Di23|1|0.0136986301369863
Kd01|4|0.0547945205479452
Dm01|2|0.0273972602739726
Dm04|1|0.0136986301369863
Kb04|4|0.0547945205479452
Ca07|1|0.0136986301369863
Hj63|2|0.0273972602739726
Di10|2|0.0273972602739726
Da06|1|0.0136986301369863
Ed61|1|0.0136986301369863
Hc11|1|0.0136986301369863
Dm05|1|0.0136986301369863
Ca02|1|0.0136986301369863
Kb02|1|0.0136986301369863
Di09|1|0.0136986301369863
Dj01|1|0.0136986301369863
Di03|1|0.0136986301369863
Ed28|1|0.0136986301369863
Kd05|1|0.0136986301369863
--------------------------------------------
null|9|0.1232876712328767
Dk19|1|0.0136986301369863
Dd06|1|0.0136986301369863
Ed04|4|0.0547945205479452
Di02|5|0.0684931506849315
Da05|1|0.0136986301369863
Kd05|16|0.2191780821917808
Di10|1|0.0136986301369863
Cb02|2|0.0273972602739726
Kd01|1|0.0136986301369863
Aa04|1|0.0136986301369863
Dn08|2|0.0273972602739726
Kc08|1|0.0136986301369863
Ed28|1|0.0136986301369863
Hc05|1|0.0136986301369863
Ka33|1|0.0136986301369863
Dm01|1|0.0136986301369863
Hj30|3|0.0410958904109589
Eb01|1|0.0136986301369863
Hj26|1|0.0136986301369863
Dd07|1|0.0136986301369863
Ka12|1|0.0136986301369863
Dj05|1|0.0136986301369863
Ka13|1|0.0136986301369863
Dm03|1|0.0136986301369863
Hj12|1|0.0136986301369863
--------------------------------------------
Ka08|1|0.0136986301369863
null|10|0.136986301369863
Gc02|2|0.0273972602739726
Ka06|1|0.0136986301369863
Ee17|4|0.0547945205479452
Dd15|2|0.0273972602739726
Kc08|1|0.0136986301369863
Di24|1|0.0136986301369863
Cb04|1|0.0136986301369863
Hm01|1|0.0136986301369863
Kd05|1|0.0136986301369863
Kd01|1|0.0136986301369863
-=-=-=-=-=-=-=-==-=-=-=-==-=-=-=-=-=-==-=-=-=-单层
D|16|0.2191780821917808
C|8|0.1095890410958904
E|5|0.0684931506849315
null|17|0.2328767123287671
K|11|0.1506849315068493
H|3|0.0410958904109589
--------------------------------------------
null|9|0.1232876712328767
D|15|0.2054794520547945
E|6|0.0821917808219178
K|21|0.2876712328767123
C|2|0.0273972602739726
A|1|0.0136986301369863
H|6|0.0821917808219178
--------------------------------------------
K|5|0.0684931506849315
null|10|0.136986301369863
G|2|0.0273972602739726
E|4|0.0547945205479452
D|3|0.0410958904109589
C|1|0.0136986301369863
H|1|0.0136986301369863
